name,stores,released,rating,rating_top,ratings_count,suggestions_count,reviews_count,parent_platforms,genres
Absolum,Steam,2025-10-09,3.77,5,13,34,13,PC,"Indie, Adventure, Action, RPG"
Tomb Raider IV•V•VI Remastered,"Steam, PlayStation Store, Xbox Store, GOG, Nintendo Store, Epic Games",2025-02-14,0.0,4,5,176,5,"PC, PlayStation, Xbox, Nintendo","Adventure, Action, Puzzle"
The Drifter,"Steam, GOG",2025-07-17,4.3,5,10,245,10,"PC, Apple Macintosh, Linux","Indie, Adventure"
Megabonk,Steam,2025-09-18,3.94,4,16,110,17,"PC, Linux","Casual, Indie, Action"
No I'm not a Human,Steam,2025-09-15,4.03,5,29,0,29,PC,"Indie, Simulation"
Ninja Gaiden: Ragebound,"Steam, GOG",2025-07-31,4.06,4,17,54,17,"PC, PlayStation, Xbox, Nintendo","Indie, Platformer, Adventure, Action"
Metal Eden,"Steam, GOG",2025-09-01,3.71,5,5,221,7,PC,"Shooter, Adventure, Action"
REMATCH (2025),Steam,2025-06-19,2.61,1,17,55,18,"PC, PlayStation, Xbox","Indie, Sports"
Peak,Steam,2025-03-01,0.0,0,2,23,2,PC,"Adventure, Action, Casual, Simulation, Indie"
Wanderstop,Steam,2025-03-11,3.86,5,7,0,7,PC,"Indie, Adventure, Simulation"
Post Trauma,Steam,2025-04-22,3.0,4,7,442,7,"PC, PlayStation, Xbox","Indie, Adventure"
PEAK.,,2025-06-17,4.09,4,23,65,23,PC,Adventure
Beholder: Conductor,"Steam, GOG",2025-04-23,3.73,4,15,357,15,"PC, Apple Macintosh","Indie, Adventure"
Captain Blood,"Steam, PlayStation Store, Xbox Store, GOG, Nintendo Store",2025-05-06,3.5,4,16,475,18,"PC, PlayStation, Xbox, Nintendo","Adventure, Action"
Ball x Pit,Steam,2025-10-15,4.33,4,16,523,18,"PC, Apple Macintosh, Nintendo","Indie, Action"
GUNTOUCHABLES,Steam,2025-08-07,0.0,0,2,197,2,PC,"Indie, Action"
Havendock,"Steam, GOG",2025-04-21,0.0,0,4,513,4,PC,"Casual, Strategy, Indie, Simulation"
Karma: The Dark World,"Steam, GOG",2025-03-27,3.33,3,14,440,15,PC,"Indie, RPG"
Keeper,Steam,2025-10-17,4.0,4,14,88,15,"PC, Xbox","Indie, Adventure, Action"
Shinobi: Art of Vengeance,"Steam, PlayStation Store",2025-08-29,3.62,5,7,231,8,"PC, PlayStation, Xbox, Nintendo","Platformer, Action"
Pokémon Legends: Z-A,,2025-10-16,0.0,0,4,0,4,Nintendo,"Adventure, RPG"
