Name,Platform,Year,Genre,Publisher,NorthAmerica_Sales,Europe_Sales,Japan_Sales,Other_Sales,Global_Sales,Multi_Platform
Tomb Raider,PC,1996,Action,Eidos Interactive,0.96,0.07,0.0,0.0,1.03,False
Street Fighter Alpha 3,PS,1998,Fighting,Virgin Interactive,0.38,0.12,0.51,0.02,1.03,True
MySims Agents,WII,2009,Adventure,Electronic Arts,0.61,0.32,0.0,0.1,1.03,True
Junior Brain Trainer,DS,2008,Misc,GSP,0.23,0.71,0.0,0.09,1.03,False
MotorStorm: Arctic Edge,PSP,2009,Racing,Sony Computer Entertainment,0.16,0.57,0.0,0.29,1.02,True
FIFA Soccer 08,WII,2007,Sports,Electronic Arts,0.32,0.59,0.01,0.11,1.02,True
ZhuZhu Pets,DS,2010,Simulation,Activision,0.67,0.26,0.0,0.09,1.02,False
Tiger Woods PGA Tour 08,WII,2007,Sports,Electronic Arts,0.93,0.01,0.0,0.08,1.02,True
Dragon Ball Z: Budokai Tenkaichi 3,WII,2007,Fighting,Atari,0.32,0.36,0.26,0.09,1.02,False
Shrek 2,GC,2004,Platform,Activision,0.73,0.26,0.01,0.03,1.02,True
NBA 2K17,XONE,2016,Sports,Take-Two Interactive,0.86,0.06,0.0,0.11,1.02,True
Tom Clancy's Ghost Recon Advanced Warfighter 2,X360,2007,Shooter,Ubisoft,0.87,0.05,0.02,0.08,1.02,True
Sonic Unleashed,PS3,2008,Platform,Sega,0.56,0.32,0.01,0.14,1.02,True
Final Fight 2,SNES,1993,Action,Capcom,0.39,0.12,0.49,0.02,1.02,False
The Lost World: Jurassic Park,PS,1997,Action,Electronic Arts,0.57,0.39,0.0,0.07,1.02,False
Disney Universe,WII,2011,Action,Disney Interactive Studios,0.64,0.28,0.0,0.1,1.02,True
Dance on Broadway,WII,2010,Misc,Ubisoft,0.25,0.65,0.0,0.12,1.02,True
LEGO Indiana Jones 2: The Adventure Continues,X360,2009,Action,Activision,0.62,0.31,0.0,0.09,1.02,True
Petz: Catz 2,DS,2007,Simulation,Ubisoft,0.51,0.4,0.0,0.11,1.02,True
Bulletstorm,X360,2011,Shooter,Electronic Arts,0.61,0.32,0.01,0.08,1.02,True
Skylanders SWAP Force,PS3,2013,Platform,Activision,0.43,0.42,0.0,0.17,1.02,True
Madden NFL 07,XB,2006,Sports,Electronic Arts,0.97,0.03,0.0,0.03,1.02,True
Sonic Generations,3DS,2011,Platform,Sega,0.44,0.47,0.01,0.09,1.02,True
Rock Band 2,WII,2008,Misc,MTV Games,0.93,0.01,0.0,0.08,1.02,True
Harry Potter and the Prisoner of Azkaban,PS2,2004,Action,Electronic Arts,0.5,0.39,0.0,0.13,1.02,True
Pokemon Conquest,DS,2012,Role-Playing,Nintendo,0.56,0.05,0.37,0.04,1.02,False
Wall-E,WII,2008,Platform,THQ,0.51,0.4,0.0,0.11,1.01,True
Pong: The Next Level,PS,1998,Puzzle,Hasbro Interactive,0.56,0.38,0.0,0.07,1.01,False
Naruto: Clash of Ninja Revolution,WII,2007,Fighting,Tomy Corporation,0.44,0.46,0.0,0.11,1.01,False
Disney Fairies: Tinker Bell and the Lost Treasure,DS,2009,Adventure,Disney Interactive Studios,0.56,0.34,0.02,0.09,1.01,False
Ace Combat 6: Fires of Liberation,X360,2007,Simulation,Atari,0.69,0.04,0.22,0.06,1.01,False
The Simpsons Game,WII,2007,Action,Electronic Arts,0.45,0.46,0.0,0.11,1.01,True
NBA Jam Tournament Edition,SNES,1995,Sports,Acclaim Entertainment,0.87,0.12,0.0,0.02,1.01,True
Championship Manager 3,PC,2003,Sports,Eidos Interactive,0.0,0.93,0.0,0.08,1.01,False
Need for Speed: Most Wanted,PSV,2012,Racing,Electronic Arts,0.33,0.45,0.01,0.22,1.01,True
Ninja Gaiden II,X360,2008,Action,Tecmo Koei,0.65,0.22,0.05,0.1,1.01,False
